,DIAM_CIRCLE_IMAGEunique_values,counts
0,1.01,6298
1,1.02,6077
2,1.03,6035
3,1.04,5941
4,1.05,5771
5,1.06,5556
6,1.07,5454
7,1.08,5418
8,1.09,5197
9,1.1,5088
10,1.11,4884
11,1.12,4846
12,1.13,4687
13,1.15,4559
14,1.14,4457
15,1.16,4396
16,1.18,4265
17,1.17,4250
18,1.19,3996
19,1.2,3981
20,1.21,3899
21,1.22,3754
22,1.24,3697
23,1.23,3650
24,1.26,3524
25,1.25,3486
26,1.27,3428
27,1.28,3240
28,1.3,3145
29,1.0,3129
30,1.29,3069
31,1.32,3029
32,1.31,2984
33,1.34,2915
34,1.33,2888
35,1.36,2737
36,1.35,2707
37,1.37,2645
38,1.38,2555
39,1.39,2467
40,1.4,2428
41,1.42,2388
42,1.41,2363
43,1.43,2360
44,1.44,2210
45,1.45,2185
46,1.47,2121
47,1.48,2101
48,1.46,2092
49,1.49,1998
50,1.5,1950
51,1.51,1923
52,1.53,1850
53,1.52,1844
54,1.55,1808
55,1.58,1780
56,1.56,1775
57,1.54,1773
58,1.57,1693
59,1.59,1671
60,1.6,1623
61,1.62,1614
62,1.61,1591
63,1.63,1524
64,1.64,1517
65,1.65,1452
66,1.67,1451
67,1.66,1444
68,1.7,1411
69,1.71,1363
70,1.68,1361
71,1.69,1357
72,1.74,1308
73,1.75,1305
74,1.73,1287
75,1.77,1274
76,1.72,1237
77,1.76,1231
78,1.78,1217
79,1.82,1169
80,1.81,1160
81,1.79,1159
82,1.83,1158
83,1.84,1132
84,1.8,1118
85,1.88,1089
86,1.9,1069
87,1.85,1050
88,1.87,1049
89,1.86,1033
90,1.89,1023
91,1.94,1008
92,1.93,987
93,1.92,972
94,1.98,957
95,1.95,942
96,1.91,940
97,1.96,926
98,1.97,918
99,2.0,915
100,2.02,877
101,1.99,876
102,2.04,822
103,2.07,812
104,2.01,812
105,2.06,810
106,2.03,809
107,2.1,802
108,2.09,800
109,2.05,793
110,2.12,762
111,2.13,759
112,2.08,752
113,2.17,728
114,2.14,726
115,2.16,724
116,2.11,721
117,2.18,714
118,2.22,703
119,2.15,694
120,2.19,693
121,2.2,682
122,2.28,672
123,2.21,668
124,2.24,664
125,2.23,661
126,2.25,653
127,2.3,643
128,2.27,635
129,2.26,626
130,2.32,596
131,2.33,585
132,2.37,581
133,2.31,580
134,2.34,577
135,2.35,574
136,2.29,566
137,2.39,552
138,2.36,548
139,2.4,542
140,2.38,536
141,2.44,532
142,2.41,525
143,2.46,516
144,2.45,506
145,2.43,490
146,2.49,488
147,2.5,480
148,2.51,477
149,2.42,475
150,2.53,473
151,2.48,462
152,2.52,452
153,2.56,450
154,2.47,444
155,2.58,443
156,2.54,441
157,2.69,439
158,2.64,437
159,2.63,431
160,2.55,427
161,2.62,427
162,2.57,425
163,2.59,424
164,2.67,421
165,2.65,420
166,2.6,416
167,2.61,415
168,2.66,410
169,2.68,390
170,2.71,383
171,2.7,382
172,2.76,381
173,2.77,378
174,2.8,376
175,2.79,374
176,2.74,371
177,2.75,366
178,2.73,365
179,2.78,364
180,2.72,363
181,2.83,361
182,2.81,357
183,2.86,353
184,2.82,342
185,2.84,333
186,2.88,332
187,2.94,327
188,2.93,326
189,2.9,324
190,2.92,323
191,2.91,322
192,2.85,322
193,2.98,320
194,2.95,318
195,3.02,317
196,2.97,317
197,3.03,309
198,3.06,308
199,3.05,305
200,3.01,305
201,2.99,304
202,2.87,304
203,2.89,297
204,3.09,292
205,3.1,287
206,3.16,285
207,3.04,284
208,3.21,281
209,2.96,279
210,3.0,278
211,3.08,275
212,3.14,275
213,3.12,272
214,3.15,272
215,3.11,272
216,3.13,265
217,3.2,261
218,3.3,260
219,3.24,257
220,3.25,252
221,3.28,247
222,3.17,245
223,3.29,245
224,3.27,244
225,3.07,242
226,3.18,242
227,3.26,240
228,3.19,238
229,3.22,235
230,3.36,233
231,3.38,230
232,3.35,230
233,3.31,230
234,3.43,224
235,3.33,224
236,3.48,223
237,3.45,220
238,3.34,219
239,3.32,219
240,3.39,217
241,3.54,216
242,3.42,214
243,3.4,213
244,3.23,212
245,3.41,212
246,3.37,210
247,3.5,208
248,3.55,204
249,3.59,203
250,3.53,203
251,3.71,197
252,3.6,196
253,3.61,195
254,3.46,195
255,3.47,194
256,3.58,192
257,3.51,192
258,3.52,192
259,3.86,190
260,3.63,186
261,3.64,185
262,3.76,184
263,3.87,182
264,3.66,182
265,3.69,182
266,3.56,182
267,3.84,181
268,3.44,179
269,3.62,176
270,3.65,175
271,3.57,175
272,3.8,174
273,3.72,170
274,3.49,170
275,3.74,170
276,3.73,169
277,3.75,169
278,3.83,167
279,3.77,166
280,3.79,165
281,3.99,164
282,3.89,163
283,3.67,163
284,3.81,163
285,3.88,162
286,3.78,160
287,3.7,158
288,3.94,155
289,3.68,153
290,3.91,152
291,3.98,151
292,3.96,151
293,3.95,151
294,4.01,150
295,4.03,148
296,3.82,147
297,4.14,144
298,3.92,143
299,4.25,143
300,3.85,142
301,3.93,142
302,4.17,142
303,4.18,142
304,4.0,142
305,4.33,141
306,4.24,141
307,4.15,140
308,4.07,140
309,4.52,139
310,4.3,137
311,4.1,136
312,4.44,136
313,4.28,135
314,3.9,134
315,4.21,133
316,4.11,132
317,4.68,132
318,4.02,131
319,4.12,131
320,4.13,129
321,4.26,128
322,4.23,127
323,4.08,127
324,4.27,127
325,4.35,126
326,4.06,125
327,4.46,125
328,4.49,125
329,4.22,124
330,4.09,124
331,4.58,123
332,3.97,122
333,4.05,122
334,4.83,121
335,4.66,121
336,4.32,120
337,4.19,120
338,4.75,120
339,4.2,119
340,4.41,117
341,4.4,117
342,4.16,116
343,4.77,115
344,4.34,115
345,4.42,115
346,4.51,115
347,4.67,114
348,4.38,114
349,4.98,113
350,4.61,113
351,4.6,112
352,4.39,112
353,4.56,112
354,4.53,112
355,4.29,111
356,4.82,110
357,4.5,110
358,4.57,109
359,4.47,109
360,4.48,108
361,4.55,108
362,4.94,107
363,4.79,106
364,4.43,106
365,5.0,105
366,4.7,104
367,4.04,104
368,4.31,104
369,4.62,101
370,4.84,101
371,4.65,101
372,4.45,99
373,4.64,99
374,4.59,99
375,4.99,98
376,5.07,98
377,4.36,98
378,4.92,96
379,5.12,95
380,4.54,95
381,5.13,94
382,4.8,94
383,4.87,94
384,4.76,93
385,4.89,93
386,5.35,93
387,4.86,93
388,4.74,92
389,4.71,92
390,5.06,92
391,5.14,92
392,5.18,92
393,4.97,91
394,4.72,91
395,5.05,91
396,4.93,91
397,4.91,90
398,5.1,90
399,5.08,89
400,5.42,89
401,5.38,89
402,5.34,89
403,5.37,89
404,4.85,88
405,5.25,88
406,4.95,88
407,5.87,87
408,4.81,87
409,5.29,87
410,4.37,87
411,5.8,86
412,4.78,86
413,5.44,84
414,4.96,84
415,5.2,84
416,4.88,84
417,5.03,83
418,5.04,83
419,5.74,83
420,5.02,83
421,5.57,82
422,4.73,82
423,4.69,81
424,5.32,81
425,5.92,81
426,5.48,81
427,5.21,80
428,5.15,80
429,5.22,80
430,5.89,79
431,5.52,79
432,5.17,78
433,4.63,78
434,5.56,78
435,5.59,78
436,5.51,78
437,5.11,77
438,6.16,77
439,5.26,77
440,5.16,77
441,5.61,76
442,5.55,76
443,5.5,76
444,5.31,76
445,6.68,75
446,5.46,75
447,5.09,75
448,5.58,74
449,5.24,74
450,5.97,73
451,4.9,73
452,5.01,73
453,6.06,73
454,6.02,72
455,6.07,72
456,5.4,72
457,5.33,72
458,5.78,72
459,5.39,72
460,5.23,72
461,6.36,71
462,6.14,71
463,5.67,71
464,5.65,71
465,5.83,71
466,5.19,70
467,5.86,70
468,5.47,69
469,5.43,69
470,5.27,69
471,5.28,69
472,6.18,69
473,6.56,68
474,5.71,68
475,5.88,68
476,5.41,68
477,6.05,67
478,6.76,67
479,5.36,67
480,5.95,66
481,6.28,66
482,5.76,66
483,5.98,66
484,5.63,65
485,5.85,65
486,6.91,65
487,6.31,64
488,5.45,64
489,5.53,64
490,6.32,64
491,6.26,64
492,5.49,64
493,5.68,64
494,6.43,63
495,5.54,63
496,6.0,63
497,6.75,63
498,5.96,63
499,5.99,63
500,5.66,63
501,6.13,62
502,6.08,62
503,6.49,62
504,7.45,62
505,7.26,62
506,6.42,62
507,5.6,61
508,6.35,61
509,5.72,61
510,5.82,61
511,5.79,60
512,5.64,60
513,6.4,60
514,6.41,60
515,6.17,59
516,6.03,59
517,5.77,59
518,6.21,59
519,7.11,59
520,6.58,59
521,6.09,59
522,6.33,59
523,6.34,59
524,5.91,59
525,5.9,59
526,6.44,59
527,5.93,59
528,6.54,58
529,7.17,58
530,5.3,58
531,5.84,58
532,6.53,58
533,6.55,58
534,6.67,58
535,7.01,57
536,7.48,57
537,6.04,57
538,5.69,57
539,6.59,57
540,6.12,57
541,6.63,57
542,6.1,57
543,7.44,56
544,5.94,56
545,5.62,56
546,6.86,56
547,6.01,56
548,6.88,55
549,6.78,55
550,6.99,55
551,6.29,54
552,6.7,54
553,6.48,54
554,5.73,54
555,6.47,54
556,6.77,54
557,6.61,53
558,6.84,53
559,6.27,53
560,6.3,53
561,7.6,53
562,6.64,53
563,6.23,53
564,5.75,53
565,6.73,53
566,6.11,52
567,8.06,52
568,6.71,52
569,6.22,52
570,5.7,52
571,7.57,52
572,7.0,52
573,6.96,52
574,7.78,51
575,6.9,51
576,6.62,51
577,7.03,51
578,7.18,51
579,7.3,51
580,7.05,50
581,6.45,50
582,6.57,50
583,7.33,50
584,8.08,49
585,6.46,49
586,7.08,49
587,7.63,48
588,7.67,48
589,6.92,48
590,7.04,48
591,7.59,48
592,6.87,48
593,7.51,48
594,6.37,48
595,7.47,47
596,6.39,47
597,7.14,47
598,6.66,47
599,8.45,47
600,7.7,47
601,6.6,47
602,6.15,47
603,6.2,47
604,6.98,47
605,7.27,47
606,7.42,47
607,7.06,47
608,7.64,47
609,7.87,47
610,7.36,46
611,5.81,46
612,7.66,46
613,6.51,46
614,8.0,46
615,6.81,46
616,7.65,46
617,6.94,46
